i	P	T
159	1.71001532E-03	2.66282677E+03
160	1.76603782E-03	2.66194256E+03
161	1.82389570E-03	2.66103076E+03
162	1.88364909E-03	2.66009054E+03
163	1.94536008E-03	2.65912107E+03
164	2.00909281E-03	2.65812149E+03
165	2.07491352E-03	2.65709093E+03
166	2.14289060E-03	2.65602849E+03
167	2.21309471E-03	2.65493325E+03
168	2.28559880E-03	2.65380425E+03
169	2.36047823E-03	2.65264055E+03
170	2.43781082E-03	2.65144115E+03
171	2.51767693E-03	2.65020503E+03
172	2.60015956E-03	2.64893117E+03
173	2.68534445E-03	2.64761851E+03
174	2.77332010E-03	2.64626597E+03
175	2.86417797E-03	2.64487245E+03
176	2.95801247E-03	2.64343682E+03
177	3.05492111E-03	2.64195794E+03
178	3.15500462E-03	2.64043462E+03
179	3.25836701E-03	2.63886569E+03
180	3.36511569E-03	2.63724993E+03
181	3.47536161E-03	2.63558609E+03
182	3.58921935E-03	2.63387292E+03
183	3.70680722E-03	2.63210914E+03
184	3.82824743E-03	2.63029346E+03
185	3.95366620E-03	2.62842454E+03
186	4.08319386E-03	2.62650105E+03
187	4.21696503E-03	2.62452164E+03
188	4.35511874E-03	2.62248493E+03
189	4.49779855E-03	2.62038953E+03
190	4.64515275E-03	2.61823403E+03
191	4.79733449E-03	2.61601703E+03
192	4.95450191E-03	2.61373708E+03
193	5.11681836E-03	2.61139275E+03
194	5.28445252E-03	2.60898259E+03
195	5.45757861E-03	2.60650515E+03
196	5.63637656E-03	2.60395898E+03
197	5.82103218E-03	2.60134260E+03
198	6.01173737E-03	2.59865456E+03
199	6.20869034E-03	2.59589342E+03
200	6.41209577E-03	2.59305773E+03
201	6.62216504E-03	2.59014604E+03
202	6.83911647E-03	2.58715694E+03
203	7.06317554E-03	2.58408903E+03
204	7.29457510E-03	2.58094094E+03
205	7.53355564E-03	2.57771130E+03
206	7.78036551E-03	2.57439880E+03
207	8.03526122E-03	2.57100216E+03
208	8.29850768E-03	2.56752015E+03
209	8.57037845E-03	2.56395157E+03
210	8.85115610E-03	2.56029529E+03
211	9.14113241E-03	2.55655025E+03
212	9.44060876E-03	2.55271544E+03
213	9.74989638E-03	2.54878995E+03
214	1.00693167E-02	2.54477293E+03
215	1.03992017E-02	2.54066364E+03
216	1.07398941E-02	2.53646145E+03
217	1.10917482E-02	2.53216583E+03
218	1.14551294E-02	2.52777638E+03
219	1.18304156E-02	2.52329281E+03
220	1.22179966E-02	2.51871501E+03
221	1.26182753E-02	2.51404300E+03
222	1.30316678E-02	2.50927696E+03
223	1.34586035E-02	2.50441728E+03
224	1.38995263E-02	2.49946451E+03
225	1.43548943E-02	2.49441941E+03
226	1.48251809E-02	2.48928297E+03
227	1.53108746E-02	2.48405638E+03
228	1.58124804E-02	2.47874109E+03
229	1.63305195E-02	2.47333882E+03
230	1.68655303E-02	2.46785153E+03
231	1.74180687E-02	2.46228149E+03
232	1.79887092E-02	2.45663123E+03
233	1.85780446E-02	2.45090362E+03
234	1.91866874E-02	2.44510183E+03
235	1.98152703E-02	2.43922939E+03
236	2.04644464E-02	2.43329013E+03
237	2.11348904E-02	2.42728827E+03
238	2.18272991E-02	2.42122837E+03
239	2.25423921E-02	2.41511536E+03
240	2.32809126E-02	2.40895457E+03
241	2.40436280E-02	2.40275167E+03
242	2.48313311E-02	2.39651274E+03
243	2.56448404E-02	2.39024422E+03
244	2.64850014E-02	2.38395294E+03
245	2.73526873E-02	2.37764608E+03
246	2.82487997E-02	2.37133121E+03
247	2.91742701E-02	2.36501623E+03
248	3.01300602E-02	2.35870936E+03
249	3.11171634E-02	2.35241915E+03
250	3.21366054E-02	2.34615441E+03
251	3.31894458E-02	2.33992424E+03
252	3.42767787E-02	2.33373793E+03
253	3.53997341E-02	2.32760497E+03
254	3.65594792E-02	2.32153497E+03
255	3.77572191E-02	2.31553766E+03
256	3.89941987E-02	2.30962278E+03
257	4.02717034E-02	2.30380007E+03
258	4.15910610E-02	2.29807919E+03
259	4.29536427E-02	2.29246967E+03
260	4.43608644E-02	2.28698081E+03
261	4.58141887E-02	2.28162164E+03
262	4.73151259E-02	2.27640087E+03
263	4.88652359E-02	2.27132676E+03
264	5.04661298E-02	2.26640710E+03
265	5.21194711E-02	2.26164914E+03
266	5.38269783E-02	2.25705947E+03
267	5.55904257E-02	2.25264402E+03
268	5.74116462E-02	2.24840800E+03
269	5.92925325E-02	2.24435579E+03
270	6.12350392E-02	2.24049096E+03
271	6.32411851E-02	2.23681619E+03
272	6.53130553E-02	2.23333327E+03
273	6.74528028E-02	2.23004307E+03
274	6.96626514E-02	2.22694553E+03
275	7.19448978E-02	2.22403969E+03
276	7.43019138E-02	2.22132365E+03
277	7.67361489E-02	2.21879465E+03
278	7.92501330E-02	2.21644908E+03
279	8.18464788E-02	2.21428255E+03
280	8.45278845E-02	2.21228989E+03
281	8.72971368E-02	2.21046529E+03
282	9.01571138E-02	2.20880231E+03
283	9.31107875E-02	2.20729400E+03
284	9.61612278E-02	2.20593295E+03
285	9.93116048E-02	2.20471140E+03
286	1.02565193E-01	2.20362133E+03
287	1.05925373E-01	2.20265452E+03
288	1.09395637E-01	2.20180267E+03
289	1.12979591E-01	2.20105747E+03
290	1.16680962E-01	2.20041067E+03
291	1.20503594E-01	2.19985418E+03
292	1.24451461E-01	2.19938013E+03
293	1.28528666E-01	2.19898089E+03
294	1.32739446E-01	2.19864921E+03
295	1.37088177E-01	2.19837817E+03
296	1.41579378E-01	2.19816129E+03
297	1.46217717E-01	2.19799252E+03
298	1.51008015E-01	2.19786624E+03
299	1.55955250E-01	2.19777734E+03
300	1.61064564E-01	2.19772114E+03
301	1.66341265E-01	2.19769344E+03
302	1.71790839E-01	2.19769049E+03
303	1.77418948E-01	2.19770898E+03
304	1.83231442E-01	2.19774599E+03
305	1.89234362E-01	2.19779902E+03
306	1.95433946E-01	2.19786590E+03
307	2.01836636E-01	2.19794480E+03
308	2.08449088E-01	2.19803419E+03
309	2.15278173E-01	2.19813281E+03
310	2.22330989E-01	2.19823963E+03
311	2.29614865E-01	2.19835382E+03
312	2.37137371E-01	2.19847476E+03
313	2.44906324E-01	2.19860195E+03
314	2.52929800E-01	2.19873503E+03
315	2.61216135E-01	2.19887375E+03
316	2.69773943E-01	2.19901797E+03
317	2.78612117E-01	2.19916759E+03
318	2.87739841E-01	2.19932259E+03
319	2.97166603E-01	2.19948300E+03
320	3.06902199E-01	2.19964889E+03
321	3.16956746E-01	2.19982036E+03
322	3.27340695E-01	2.19999752E+03
323	3.38064836E-01	2.20018053E+03
324	3.49140315E-01	2.20036954E+03
325	3.60578643E-01	2.20056472E+03
326	3.72391706E-01	2.20076627E+03
327	3.84591782E-01	2.20097438E+03
328	3.97191549E-01	2.20118925E+03
329	4.10204103E-01	2.20141111E+03
330	4.23642966E-01	2.20164016E+03
331	4.37522105E-01	2.20187665E+03
332	4.51855944E-01	2.20212080E+03
333	4.66659380E-01	2.20237287E+03
334	4.81947798E-01	2.20263311E+03
335	4.97737085E-01	2.20290177E+03
336	5.14043652E-01	2.20317914E+03
337	5.30884444E-01	2.20346548E+03
338	5.48276965E-01	2.20376109E+03
339	5.66239289E-01	2.20406625E+03
340	5.84790084E-01	2.20438128E+03
341	6.03948629E-01	2.20470649E+03
342	6.23734835E-01	2.20504220E+03
343	6.44169266E-01	2.20538875E+03
344	6.65273156E-01	2.20574648E+03
345	6.87068440E-01	2.20611575E+03
346	7.09577768E-01	2.20649693E+03
347	7.32824533E-01	2.20689038E+03
348	7.56832895E-01	2.20729650E+03
349	7.81627805E-01	2.20771569E+03
350	8.07235030E-01	2.20814837E+03
351	8.33681185E-01	2.20859495E+03
352	8.60993752E-01	2.20905588E+03
353	8.89201118E-01	2.20953161E+03
354	9.18332596E-01	2.21002260E+03
355	9.48418463E-01	2.21052933E+03
356	9.79489985E-01	2.21105230E+03
357	1.01157945E+00	2.21159201E+03
358	1.04472022E+00	2.21214899E+03
359	1.07894672E+00	2.21272378E+03
360	1.11429453E+00	2.21331693E+03
361	1.15080039E+00	2.21392900E+03
362	1.18850223E+00	2.21456060E+03
363	1.22743923E+00	2.21521233E+03
364	1.26765187E+00	2.21588480E+03
365	1.30918192E+00	2.21657866E+03
366	1.35207256E+00	2.21729457E+03
367	1.39636836E+00	2.21803321E+03
368	1.44211535E+00	2.21879528E+03
369	1.48936108E+00	2.21958148E+03
370	1.53815464E+00	2.22039257E+03
371	1.58854675E+00	2.22122929E+03
372	1.64058977E+00	2.22209244E+03
373	1.69433780E+00	2.22298281E+03
374	1.74984669E+00	2.22390123E+03
375	1.80717413E+00	2.22484855E+03
376	1.86637969E+00	2.22582563E+03
377	1.92752491E+00	2.22683338E+03
378	1.99067334E+00	2.22787270E+03
379	2.05589060E+00	2.22894455E+03
380	2.12324446E+00	2.23004990E+03
381	2.19280494E+00	2.23118973E+03
382	2.26464431E+00	2.23236508E+03
383	2.33883724E+00	2.23357699E+03
384	2.41546083E+00	2.23482653E+03
385	2.49459473E+00	2.23611481E+03
386	2.57632116E+00	2.23744297E+03
387	2.66072506E+00	2.23881216E+03
388	2.74789415E+00	2.24022358E+03
389	2.83791903E+00	2.24167844E+03
390	2.93089325E+00	2.24317800E+03
391	3.02691343E+00	2.24472353E+03
392	3.12607937E+00	2.24631636E+03
